Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
81,Lebanon,5.129,1.12268,0.64184,0.76171,0.26228,0.23693,0.03061
129,Liberia,3.622,0.10706,0.50353,0.23165,0.25748,0.24063,0.04852
58,Libya,5.615,1.06688,0.95076,0.52304,0.40672,0.17087,0.10339
52,Lithuania,5.813,1.2692,1.06411,0.64674,0.18929,0.02025,0.0182
18,Luxembourg,6.871,1.69752,1.03999,0.84542,0.5487,0.27571,0.35329
127,Madagascar,3.695,0.27954,0.46115,0.37109,0.13684,0.2204,0.07506
115,Malawi,4.156,0.08709,0.147,0.29364,0.4143,0.30968,0.07564
40,Malaysia,6.005,1.25142,0.88025,0.62366,0.39031,0.41474,0.09081
117,Mali,4.073,0.31292,0.86333,0.16347,0.27544,0.21064,0.13647
27,Malta,6.488,1.30782,1.09879,0.80315,0.54994,0.56237,0.17554
113,Mauritania,4.201,0.61391,0.84142,0.28639,0.1268,0.22686,0.17955
57,Mauritius,5.648,1.14372,0.75695,0.66189,0.46145,0.36951,0.05203
19,Mexico,6.778,1.11508,0.7146,0.71143,0.37709,0.11735,0.18355
47,Moldova,5.897,0.69177,0.83132,0.52309,0.25202,0.19997,0.01903
87,Mongolia,4.907,0.98853,1.08983,0.55469,0.35972,0.34539,0.03285
76,Montenegro,5.161,1.07838,0.74173,0.63533,0.15111,0.17191,0.12721
78,Morocco,5.151,0.84058,0.38595,0.59471,0.25646,0.04053,0.08404
103,Myanmar,4.395,0.34112,0.69981,0.3988,0.42692,0.81971,0.20243
92,Nepal,4.793,0.44626,0.69699,0.50073,0.37012,0.3816,0.07008
6,Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.47416,0.29927
7,New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.49401,0.41904
41,Nicaragua,5.992,0.69384,0.89521,0.65213,0.46582,0.29773,0.16292
122,Niger,3.856,0.1327,0.6053,0.26162,0.38041,0.2097,0.17176
88,Nigeria,4.875,0.75216,0.64498,0.05108,0.27854,0.23219,0.0305
3,Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.37895,0.35776
80,Pakistan,5.132,0.68816,0.26135,0.40306,0.14622,0.31185,0.1388
93,Palestinian Territories,4.754,0.67024,0.71629,0.56844,0.17744,0.11154,0.10613
23,Panama,6.701,1.18306,0.98912,0.70835,0.48927,0.2418,0.08423
61,Paraguay,5.538,0.89373,1.11111,0.58295,0.46235,0.25296,0.07396
55,Peru,5.743,0.99602,0.81255,0.62994,0.37502,0.14527,0.05292
71,Philippines,5.279,0.81217,0.87877,0.47036,0.54854,0.21674,0.11757
49,Poland,5.835,1.24585,1.04685,0.69058,0.4519,0.14443,0.055
82,Portugal,5.123,1.27607,0.94367,0.79363,0.44727,0.11691,0.01521
62,Romania,5.528,1.1697,0.72803,0.67602,0.36712,0.12889,0.00679
48,Russia,5.856,1.23228,1.05261,0.58991,0.32682,0.02736,0.03586
131,Rwanda,3.515,0.32846,0.61586,0.31865,0.5432,0.23552,0.50521
31,Saudi Arabia,6.379,1.48953,0.84829,0.59267,0.37904,0.15457,0.30008
111,Senegal,4.219,0.44314,0.77416,0.40457,0.31056,0.19103,0.11681
74,Serbia,5.177,1.03437,0.81329,0.6458,0.15718,0.20737,0.04339
96,Sierra Leone,4.635,0.36485,0.628,0.0,0.30685,0.23897,0.08196
20,Singapore,6.739,1.64555,0.86758,0.94719,0.4877,0.32706,0.46987
38,Slovakia,6.078,1.27973,1.08268,0.70367,0.23391,0.13837,0.02947
54,Slovenia,5.768,1.29947,1.05613,0.79151,0.53164,0.25738,0.03635
100,South Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.13656,0.08415
50,South Korea,5.835,1.35948,0.72194,0.88645,0.25168,0.18824,0.07716
32,Spain,6.361,1.34253,1.12945,0.87896,0.37545,0.17665,0.06137
101,Sri Lanka,4.415,0.97318,0.84783,0.62007,0.50817,0.46978,0.07964
9,Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.38254,0.40867
1,Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.28083,0.41203
86,Tajikistan,4.996,0.48835,0.75602,0.53119,0.43408,0.25998,0.13509
128,Tanzania,3.666,0.47155,0.77623,0.357,0.3176,0.31472,0.05099
30,Thailand,6.474,1.0893,1.04477,0.64915,0.49553,0.58696,0.02833
134,Togo,3.303,0.28123,0.0,0.24811,0.34678,0.17517,0.11587
84,Tunisia,5.045,0.97724,0.43165,0.59577,0.23553,0.03936,0.0817
67,Turkey,5.389,1.16492,0.87717,0.64718,0.23889,0.04707,0.12348
56,Turkmenistan,5.658,1.08017,1.03817,0.44006,0.37408,0.22567,0.28467
125,Uganda,3.739,0.34719,0.90981,0.19625,0.43653,0.27102,0.06442
107,Ukraine,4.324,0.87287,1.01413,0.58628,0.12859,0.20363,0.01829
21,United Kingdom,6.725,1.40283,1.08672,0.80991,0.50036,0.50156,0.27399
12,United States,7.104,1.50796,1.04782,0.779,0.48163,0.41077,0.14868
26,Uruguay,6.545,1.18157,1.03143,0.72183,0.54388,0.18056,0.21394
42,Uzbekistan,5.987,0.73591,1.1681,0.50163,0.60848,0.34326,0.28333
37,Venezuela,6.084,1.13367,1.03302,0.61904,0.19847,0.0425,0.08304
83,Vietnam,5.061,0.74037,0.79117,0.66157,0.55954,0.25075,0.11556
126,Yemen,3.724,0.57939,0.47493,0.31048,0.2287,0.09821,0.05892
91,Zambia,4.795,0.61202,0.6376,0.23573,0.42662,0.17866,0.11479
114,Zimbabwe,4.193,0.35041,0.71478,0.1595,0.25429,0.18503,0.08582
